gazeta,total_files,unique_contents,duplicate_files,dup_ratio
PaginiRomanesti,1000,48,952,95.20%
Unghiul,608,165,443,72.86%
ESP,948,81,867,91.46%
Noi,179,2,177,98.88%
HN24,20,2,18,90.00%
Zorile,1005,15,990,98.51%
Viata,508,44,464,91.34%
GazetaBT,300,12,288,96.00%
ziaruldelta.ro,400,39,361,90.25%
argesexpress,80,36,44,55.00%
obiectivbr,90,1,89,98.89%
infobraila,56,26,30,53.57%
jurnalulgiurgiuvean,60,14,46,76.67%
calarasi24,43,7,36,83.72%
banateanul.ro,147,33,114,77.55%
albaiulianul,10,3,7,70.00%
harghitanews,56,3,53,94.64%
actualdecluj,135,1,134,99.26%
mesageruldecovasna,417,58,359,86.09%
actualitati-arad.ro,192,10,182,94.79%
ziardearad.ro,13,6,7,53.85%
buletindecarei.ro,189,44,145,76.72%
gazetanord-vest.ro,317,31,286,90.22%
emaramures.ro,192,1,191,99.48%
